county,office,district,party,candidate,votes,no_votes
DENVER,"County Court, Denver",,,Kerri Lombardi,176806,"53,627"
TOTAL,"County Court, Denver",,,Kerri Lombardi,176806,"53,627"
DENVER,"County Court, Denver",,,Chelsea Malone,189722,"41,348"
TOTAL,"County Court, Denver",,,Chelsea Malone,189722,"41,348"
DOUGLAS,"County Court, Douglas",,,Lawrence Bowling,99695,"32,402"
TOTAL,"County Court, Douglas",,,Lawrence Bowling,99695,"32,402"
DOUGLAS,"County Court, Douglas",,,Monica J. Gomez,99261,"33,669"
TOTAL,"County Court, Douglas",,,Monica J. Gomez,99261,"33,669"
DOUGLAS,"County Court, Douglas",,,Susanna Meissner-Cutler,100850,"31,254"
TOTAL,"County Court, Douglas",,,Susanna Meissner-Cutler,100850,"31,254"
ELBERT,"County Court, Elbert",,,Palmer L. Boyette,8247,"3,391"
TOTAL,"County Court, Elbert",,,Palmer L. Boyette,8247,"3,391"
EL PASO,"County Court, El Paso",,,Christopher Edward Acker,107764,"123,346"
TOTAL,"County Court, El Paso",,,Christopher Edward Acker,107764,"123,346"
EL PASO,"County Court, El Paso",,,Lawrence D. Martin,170289,"57,002"
TOTAL,"County Court, El Paso",,,Lawrence D. Martin,170289,"57,002"
EL PASO,"County Court, El Paso",,,Douglas J. Miles,169228,"57,304"
TOTAL,"County Court, El Paso",,,Douglas J. Miles,169228,"57,304"
EL PASO,"County Court, El Paso",,,Ann M. Rotolo,171117,"56,335"
TOTAL,"County Court, El Paso",,,Ann M. Rotolo,171117,"56,335"
GARFIELD,"County Court, Garfield",,,Paul H. Metzger,15654,"3,468"
TOTAL,"County Court, Garfield",,,Paul H. Metzger,15654,"3,468"
GARFIELD,"County Court, Garfield",,,Jonathan Bruce Pototsky,15030,"3,794"
TOTAL,"County Court, Garfield",,,Jonathan Bruce Pototsky,15030,"3,794"
GILPIN,"County Court, Gilpin",,,David C. Taylor,2229,651
TOTAL,"County Court, Gilpin",,,David C. Taylor,2229,651
GRAND,"County Court, Grand",,,Nicholas Catanzarite,4698,"1,506"
TOTAL,"County Court, Grand",,,Nicholas Catanzarite,4698,"1,506"
JACKSON,"County Court, Jackson",,,Cindy Wilson,405,342
TOTAL,"County Court, Jackson",,,Cindy Wilson,405,342
JEFFERSON,"County Court, Jefferson",,,Susan Lori Fisch,187490,"60,983"
TOTAL,"County Court, Jefferson",,,Susan Lori Fisch,187490,"60,983"
JEFFERSON,"County Court, Jefferson",,,Mark Marrow Randall,186061,"60,444"
TOTAL,"County Court, Jefferson",,,Mark Marrow Randall,186061,"60,444"
JEFFERSON,"County Court, Jefferson",,,Ryan James Stuart,183696,"61,777"
TOTAL,"County Court, Jefferson",,,Ryan James Stuart,183696,"61,777"
JEFFERSON,"County Court, Jefferson",,,Thomas Vance,178806,"63,812"
TOTAL,"County Court, Jefferson",,,Thomas Vance,178806,"63,812"
JEFFERSON,"County Court, Jefferson",,,Jean Woodford,181073,"62,420"
TOTAL,"County Court, Jefferson",,,Jean Woodford,181073,"62,420"
KIOWA,"County Court, Kiowa",,,Gary W. Davis,631,113
TOTAL,"County Court, Kiowa",,,Gary W. Davis,631,113
KIT CARSON,"County Court, Kit Carson",,,Michael K. Grinnan,2311,542
TOTAL,"County Court, Kit Carson",,,Michael K. Grinnan,2311,542
LARIMER,"County Court, Larimer",,,Thomas L. Lynch,109716,"31,770"
TOTAL,"County Court, Larimer",,,Thomas L. Lynch,109716,"31,770"
LARIMER,"County Court, Larimer",,,Peter E. Schoon Jr.,92388,"47,845"
TOTAL,"County Court, Larimer",,,Peter E. Schoon Jr.,92388,"47,845"
LINCOLN,"County Court, Lincoln",,,Truston Lee Fisher,1623,342
TOTAL,"County Court, Lincoln",,,Truston Lee Fisher,1623,342
MESA,"County Court, Mesa",,,Bruce R. Raaum,42424,"13,424"
TOTAL,"County Court, Mesa",,,Bruce R. Raaum,42424,"13,424"
MOFFAT,"County Court, Moffat",,,Sandra H. Gardner,3504,"1,450"
TOTAL,"County Court, Moffat",,,Sandra H. Gardner,3504,"1,450"
MONTEZUMA,"County Court, Montezuma",,,JenniLynn Lawrence,8038,"2,179"
TOTAL,"County Court, Montezuma",,,JenniLynn Lawrence,8038,"2,179"
MONTROSE,"County Court, Montrose",,,Ben A. Morris,10813,"4,378"
TOTAL,"County Court, Montrose",,,Ben A. Morris,10813,"4,378"
OTERO,"County Court, Otero",,,Douglas R. Manley,5511,"1,614"
TOTAL,"County Court, Otero",,,Douglas R. Manley,5511,"1,614"
PARK,"County Court, Park",,,Brian L. Green,5859,"2,118"
TOTAL,"County Court, Park",,,Brian L. Green,5859,"2,118"
PITKIN,"County Court, Pitkin",,,Erin Fernandez-Ely,7274,796
TOTAL,"County Court, Pitkin",,,Erin Fernandez-Ely,7274,796
PROWERS,"County Court, Prowers",,,Curtis Lane Porter,2928,711
TOTAL,"County Court, Prowers",,,Curtis Lane Porter,2928,711
PUEBLO,"County Court, Pueblo",,,Steven B. Fieldman,41866,"16,422"
TOTAL,"County Court, Pueblo",,,Steven B. Fieldman,41866,"16,422"
PUEBLO,"County Court, Pueblo",,,David Lee Lobato,41409,"16,796"
TOTAL,"County Court, Pueblo",,,David Lee Lobato,41409,"16,796"
RIO BLANCO,"County Court, Rio Blanco",,,Laurie Anne Noble,2144,493
TOTAL,"County Court, Rio Blanco",,,Laurie Anne Noble,2144,493
RIO GRANDE,"County Court, Rio Grande",,,Barbara A. Zollars,3471,998
TOTAL,"County Court, Rio Grande",,,Barbara A. Zollars,3471,998
ROUTT,"County Court, Routt",,,James H. Garrecht,9143,"1,566"
TOTAL,"County Court, Routt",,,James H. Garrecht,9143,"1,566"
SAGUACHE,"County Court, Saguache",,,Anna Ulrich,1672,562
TOTAL,"County Court, Saguache",,,Anna Ulrich,1672,562
SAN MIGUEL,"County Court, San Miguel",,,Susanne J. Ross,2085,"1,104"
TOTAL,"County Court, San Miguel",,,Susanne J. Ross,2085,"1,104"
TELLER,"County Court, Teller",,,Theresa L. Kilgore,7613,"2,709"
TOTAL,"County Court, Teller",,,Theresa L. Kilgore,7613,"2,709"
WASHINGTON,"County Court, Washington",,,Kelly S. Hansen,1894,338
TOTAL,"County Court, Washington",,,Kelly S. Hansen,1894,338
WELD,"County Court, Weld",,,John Joseph Briggs,69065,"28,640"
TOTAL,"County Court, Weld",,,John Joseph Briggs,69065,"28,640"
WELD,"County Court, Weld",,,Michele Lynn Meyer,70631,"27,296"
TOTAL,"County Court, Weld",,,Michele Lynn Meyer,70631,"27,296"
WELD,"County Court, Weld",,,Dana Nichols,67350,"30,483"
TOTAL,"County Court, Weld",,,Dana Nichols,67350,"30,483"
WELD,"County Court, Weld",,,Charles S. Unfug,61974,"36,126"
TOTAL,"County Court, Weld",,,Charles S. Unfug,61974,"36,126"
ADAMS,Amendment V (CONSTITUTIONAL),,,Assembly Age,55047,"111,879"
ALAMOSA,Amendment V (CONSTITUTIONAL),,,Assembly Age,1966,"3,911"
ARAPAHOE,Amendment V (CONSTITUTIONAL),,,Assembly Age,92910,"167,872"
ARCHULETA,Amendment V (CONSTITUTIONAL),,,Assembly Age,2191,"4,425"
BACA,Amendment V (CONSTITUTIONAL),,,Assembly Age,329,"1,505"
BENT,Amendment V (CONSTITUTIONAL),,,Assembly Age,466,"1,388"
BOULDER,Amendment V (CONSTITUTIONAL),,,Assembly Age,92234,"78,399"
BROOMFIELD,Amendment V (CONSTITUTIONAL),,,Assembly Age,13547,"21,528"
CHAFFEE,Amendment V (CONSTITUTIONAL),,,Assembly Age,3737,"6,919"
CHEYENNE,Amendment V (CONSTITUTIONAL),,,Assembly Age,171,799
CLEAR CREEK,Amendment V (CONSTITUTIONAL),,,Assembly Age,1937,"3,354"
CONEJOS,Amendment V (CONSTITUTIONAL),,,Assembly Age,955,"2,441"
COSTILLA,Amendment V (CONSTITUTIONAL),,,Assembly Age,556,922
CROWLEY,Amendment V (CONSTITUTIONAL),,,Assembly Age,300,"1,066"
CUSTER,Amendment V (CONSTITUTIONAL),,,Assembly Age,704,"2,093"
DELTA,Amendment V (CONSTITUTIONAL),,,Assembly Age,4008,"10,859"
DENVER,Amendment V (CONSTITUTIONAL),,,Assembly Age,147429,"150,028"
DOLORES,Amendment V (CONSTITUTIONAL),,,Assembly Age,263,881
DOUGLAS,Amendment V (CONSTITUTIONAL),,,Assembly Age,48053,"124,051"
EAGLE,Amendment V (CONSTITUTIONAL),,,Assembly Age,9476,"12,238"
ELBERT,Amendment V (CONSTITUTIONAL),,,Assembly Age,2696,"11,744"
EL PASO,Amendment V (CONSTITUTIONAL),,,Assembly Age,78273,"192,329"
FREMONT,Amendment V (CONSTITUTIONAL),,,Assembly Age,5013,"14,250"
GARFIELD,Amendment V (CONSTITUTIONAL),,,Assembly Age,8435,"15,062"
GILPIN,Amendment V (CONSTITUTIONAL),,,Assembly Age,1231,"2,048"
GRAND,Amendment V (CONSTITUTIONAL),,,Assembly Age,2531,"5,001"
GUNNISON,Amendment V (CONSTITUTIONAL),,,Assembly Age,3816,"4,797"
HINSDALE,Amendment V (CONSTITUTIONAL),,,Assembly Age,163,385
HUERFANO,Amendment V (CONSTITUTIONAL),,,Assembly Age,1205,"2,339"
JACKSON,Amendment V (CONSTITUTIONAL),,,Assembly Age,194,574
JEFFERSON,Amendment V (CONSTITUTIONAL),,,Assembly Age,104897,"193,855"
KIOWA,Amendment V (CONSTITUTIONAL),,,Assembly Age,149,586
KIT CARSON,Amendment V (CONSTITUTIONAL),,,Assembly Age,473,"2,545"
LAKE,Amendment V (CONSTITUTIONAL),,,Assembly Age,1095,"1,706"
LA PLATA,Amendment V (CONSTITUTIONAL),,,Assembly Age,11329,"16,312"
LARIMER,Amendment V (CONSTITUTIONAL),,,Assembly Age,67718,"109,272"
LAS ANIMAS,Amendment V (CONSTITUTIONAL),,,Assembly Age,1856,"4,236"
LINCOLN,Amendment V (CONSTITUTIONAL),,,Assembly Age,343,"1,687"
LOGAN,Amendment V (CONSTITUTIONAL),,,Assembly Age,1844,"6,536"
MESA,Amendment V (CONSTITUTIONAL),,,Assembly Age,18103,"48,198"
MINERAL,Amendment V (CONSTITUTIONAL),,,Assembly Age,182,389
MOFFAT,Amendment V (CONSTITUTIONAL),,,Assembly Age,1139,"4,104"
MONTEZUMA,Amendment V (CONSTITUTIONAL),,,Assembly Age,3503,"7,961"
MONTROSE,Amendment V (CONSTITUTIONAL),,,Assembly Age,4563,"13,883"
MORGAN,Amendment V (CONSTITUTIONAL),,,Assembly Age,2488,"7,949"
OTERO,Amendment V (CONSTITUTIONAL),,,Assembly Age,2028,"5,301"
OURAY,Amendment V (CONSTITUTIONAL),,,Assembly Age,1380,"1,772"
PARK,Amendment V (CONSTITUTIONAL),,,Assembly Age,2770,"6,574"
PHILLIPS,Amendment V (CONSTITUTIONAL),,,Assembly Age,385,"1,574"
PITKIN,Amendment V (CONSTITUTIONAL),,,Assembly Age,5008,"4,417"
PROWERS,Amendment V (CONSTITUTIONAL),,,Assembly Age,881,"3,168"
PUEBLO,Amendment V (CONSTITUTIONAL),,,Assembly Age,21080,"44,285"
RIO BLANCO,Amendment V (CONSTITUTIONAL),,,Assembly Age,592,"2,359"
RIO GRANDE,Amendment V (CONSTITUTIONAL),,,Assembly Age,1332,"3,485"
ROUTT,Amendment V (CONSTITUTIONAL),,,Assembly Age,5397,"7,496"
SAGUACHE,Amendment V (CONSTITUTIONAL),,,Assembly Age,1066,"1,479"
SAN JUAN,Amendment V (CONSTITUTIONAL),,,Assembly Age,189,247
SAN MIGUEL,Amendment V (CONSTITUTIONAL),,,Assembly Age,2094,"1,825"
SEDGWICK,Amendment V (CONSTITUTIONAL),,,Assembly Age,293,873
SUMMIT,Amendment V (CONSTITUTIONAL),,,Assembly Age,6146,"7,662"
TELLER,Amendment V (CONSTITUTIONAL),,,Assembly Age,3182,"9,412"
WASHINGTON,Amendment V (CONSTITUTIONAL),,,Assembly Age,373,"1,984"
WELD,Amendment V (CONSTITUTIONAL),,,Assembly Age,34761,"86,040"
YUMA,Amendment V (CONSTITUTIONAL),,,Assembly Age,704,"3,301"
TOTAL,Amendment V (CONSTITUTIONAL),,,Assembly Age,889179,"1,567,560"
ADAMS,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,81460,"79,304"
ALAMOSA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,2385,"3,268"
ARAPAHOE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,135629,"113,657"
ARCHULETA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,2898,"3,182"
BACA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,532,"1,178"
BENT,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,629,"1,165"
BOULDER,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,108535,"52,577"
BROOMFIELD,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,18849,"14,544"
CHAFFEE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,5106,"4,896"
CHEYENNE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,315,634
CLEAR CREEK,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,2563,"2,417"
CONEJOS,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1229,"2,066"
COSTILLA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,581,848
CROWLEY,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,477,849
CUSTER,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1078,"1,612"
DELTA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,6065,"8,150"
DENVER,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,181962,"102,518"
DOLORES,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,353,728
DOUGLAS,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,90482,"73,860"
EAGLE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,11488,"8,478"
ELBERT,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,6254,"7,520"
EL PASO,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,136544,"124,530"
FREMONT,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,8052,"10,356"
GARFIELD,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,10951,"11,149"
GILPIN,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1687,"1,447"
GRAND,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,3508,"3,571"
GUNNISON,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,4442,"3,603"
HINSDALE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,234,270
HUERFANO,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1622,"1,746"
JACKSON,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,262,466
JEFFERSON,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,150883,"136,146"
KIOWA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,282,435
KIT CARSON,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1280,"1,591"
LAKE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1321,"1,330"
LA PLATA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,14394,"11,326"
LARIMER,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,90980,"76,962"
LAS ANIMAS,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,2393,"3,464"
LINCOLN,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,797,"1,174"
LOGAN,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,3100,"4,960"
MESA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,27260,"35,905"
MINERAL,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,261,276
MOFFAT,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1625,"3,414"
MONTEZUMA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,4644,"6,218"
MONTROSE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,7679,"9,910"
MORGAN,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,3987,"5,991"
OTERO,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,2796,"4,297"
OURAY,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1752,"1,251"
PARK,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,4200,"4,683"
PHILLIPS,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,699,"1,168"
PITKIN,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,5346,"3,241"
PROWERS,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1330,"2,570"
PUEBLO,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,28167,"35,279"
RIO BLANCO,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,997,"1,751"
RIO GRANDE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1952,"2,609"
ROUTT,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,6106,"5,698"
SAGUACHE,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1207,"1,175"
SAN JUAN,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,201,202
SAN MIGUEL,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,2278,"1,351"
SEDGWICK,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,431,683
SUMMIT,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,7389,"5,337"
TELLER,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,5991,"6,044"
WASHINGTON,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,813,"1,471"
WELD,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,52507,"62,887"
YUMA,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1493,"2,324"
TOTAL,Amendment W (CONSTITUTIONAL),,,Ballot Format for Judicial Races,1262713,"1,083,712"
ADAMS,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,88924,"71,286"
ALAMOSA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,3203,"2,463"
ARAPAHOE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,148251,"100,008"
ARCHULETA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,3592,"2,584"
BACA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,810,932
BENT,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,877,904
BOULDER,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,108614,"51,783"
BROOMFIELD,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,20724,"12,682"
CHAFFEE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,6132,"3,991"
CHEYENNE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,461,481
CLEAR CREEK,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,3231,"1,791"
CONEJOS,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1477,"1,755"
COSTILLA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,740,684
CROWLEY,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,629,679
CUSTER,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1410,"1,276"
DELTA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,7731,"6,734"
DENVER,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,189996,"94,120"
DOLORES,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,535,560
DOUGLAS,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,98268,"64,913"
EAGLE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,13656,"6,828"
ELBERT,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,7627,"6,225"
EL PASO,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,153963,"106,949"
FREMONT,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,9662,"8,715"
GARFIELD,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,13524,"8,805"
GILPIN,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1927,"1,254"
GRAND,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,4368,"2,738"
GUNNISON,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,5432,"2,740"
HINSDALE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,329,182
HUERFANO,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1883,"1,514"
JACKSON,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,328,390
JEFFERSON,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,176001,"109,155"
KIOWA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,399,304
KIT CARSON,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1639,"1,226"
LAKE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1516,"1,156"
LA PLATA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,17126,"9,166"
LARIMER,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,106769,"61,479"
LAS ANIMAS,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,3071,"2,727"
LINCOLN,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,982,999
LOGAN,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,4261,"3,837"
MESA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,35288,"28,060"
MINERAL,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,331,215
MOFFAT,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,2316,"2,708"
MONTEZUMA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,6258,"4,690"
MONTROSE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,9940,"7,767"
MORGAN,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,5102,"4,940"
OTERO,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,3487,"3,603"
OURAY,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,2002,"1,021"
PARK,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,4957,"3,937"
PHILLIPS,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,979,912
PITKIN,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,6580,"2,214"
PROWERS,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1902,"1,956"
PUEBLO,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,32458,"30,756"
RIO BLANCO,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1346,"1,410"
RIO GRANDE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,2470,"2,174"
ROUTT,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,7968,"4,147"
SAGUACHE,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1490,950
SAN JUAN,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,234,177
SAN MIGUEL,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,2709,"1,022"
SEDGWICK,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,581,534
SUMMIT,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,8986,"3,955"
TELLER,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,6947,"5,118"
WASHINGTON,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1091,"1,169"
WELD,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,64088,"51,374"
YUMA,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,2052,"1,773"
TOTAL,Amendment X (CONSTITUTIONAL),,,Industrial Hemp Definition,1421630,"922,597"
ADAMS,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,107596,"53,736"
ALAMOSA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,3696,"2,120"
ARAPAHOE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,181148,"73,066"
ARCHULETA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,4359,"2,067"
BACA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,979,816
BENT,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1057,718
BOULDER,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,129263,"38,335"
BROOMFIELD,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,25338,"9,116"
CHAFFEE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,7284,"3,149"
CHEYENNE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,520,439
CLEAR CREEK,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,3714,"1,434"
CONEJOS,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1709,"1,538"
COSTILLA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,905,544
CROWLEY,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,810,539
CUSTER,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1694,"1,101"
DELTA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,9215,"5,213"
DENVER,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,232706,"57,782"
DOLORES,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,532,592
DOUGLAS,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,115345,"52,018"
EAGLE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,15183,"5,293"
ELBERT,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,8825,"5,312"
EL PASO,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,193917,"72,431"
FREMONT,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,12887,"6,027"
GARFIELD,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,15461,"7,338"
GILPIN,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,2187,"1,005"
GRAND,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,5146,"2,145"
GUNNISON,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,6099,"2,158"
HINSDALE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,355,174
HUERFANO,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,2425,"1,062"
JACKSON,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,398,336
JEFFERSON,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,209787,"81,620"
KIOWA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,424,304
KIT CARSON,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1851,"1,100"
LAKE,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,1784,924
LA PLATA,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,20693,"6,280"
LARIMER,Amendment Y (CONSTITUTIONAL),,,Congressional Redistricting,120988,"50,111"
